id;project_period;animal_id;species;date;habitat_type;elevation;slope
1;NWAIII;MISO;Ca-ca;03.04.2014;2;1280;22.23
2;NWAI;BORA;Ca-ca;24.03.1985;3;825;12.06
3;NWAIII;MISO;Ca-ca;17.02.2013;3;1152;33.46
4;NWAIII;MISO;Ru-ru;25.03.2014;3;1023;22.99
5;NWAII;SABA;Ca-ca;25.03.1998;3;651;4.22
6;NWAIII;NEVE;Ca-ca;17.04.2017;3;801;19.28
7;NWAIII;NEVE;Ca-ca;20.04.2017;2;1025;25.94
8;NWAI;BORA;Ru-ru;25.03.1985;3;1293;35.63
9;NWAIII;NEVE;Ca-ca;06.11.2016;3;1060;36.78
11;NWAII;SABA;Ca-ca;27.02.1998;2;673;16.5
12;NWAII;SABA;Ru-ru;09.03.1999;3;942;38.25
13;NWAII;SABA;Ca-ca;03.04.1999;3;673;26.11
14;NWAIII;MISO;Ru-ru;28.02.2013;3;939;51.03
16;NWAII;SABA;Ca-ca;05.03.1999;3;621;1.58
17;NWAI;SEPP;Ru-ru;16.01.1985;2;1609;27.52
18;NWAIII;NEVE;Ru-ru;13.02.2017;3;1382;21.95
19;NWAIII;NEVE;Ca-ca;26.04.2017;3;829;25.47
20;NWAII;SABA;Ru-ru;17.12.2000;2;1530;27.78
21;NWAII;SABA;Ca-ca;29.12.2000;3;782;25.27
22;NWAII;SABA;Ru-ru;03.03.2000;3;1275;41.85
23;NWAII;ZICO;Ru-ru;30.11.2000;3;1275;41.85
24;NWAIII;MISO;Ru-ru;25.03.2013;3;1039;34.84
25;NWAIII;MISO;Ru-ru;07.03.2014;3;1035;31.26
26;NWAIII;NEVE;Ru-ru;25.04.2016;2;1094;63.29
27;NWAIII;NEVE;Ru-ru;05.01.2017;3;957;40.3
28;NWAII;SABA;Ca-ca;10.01.2001;3;870;38.14
29;NWAI;BORA;Ca-ca;15.02.1984;3;808;23.84
30;NWAIII;MISO;Ru-ru;15.11.2013;3;1229;49.26
31;NWAI;BORA;Ca-ca;06.02.1984;2;879;23.98
32;NWAIII;MISO;Ru-ru;26.04.2013;3;1527;30.71
34;NWAIII;NEVE;Ca-ca;20.01.2017;3;1037;34.15
35;NWAIII;NEVE;Ca-ca;23.02.2017;2;1208;22.49
36;NWAIII;NEVE;Ru-ru;14.12.2016;3;1691;29.12
37;NWAIII;NEVE;Ru-ru;14.03.2017;3;1312;29.68
38;NWAIII;NEVE;Ru-ru;29.03.2017;3;1597;35.41
39;NWAI;SEPP;Ca-ca;10.04.1985;3;949;27.46
40;NWAII;ZICO;Ru-ru;18.12.2000;2;1485;36.59
41;NWAIII;MISO;Ru-ru;30.12.2013;2;1358;33.29
42;NWAIII;MISO;Ru-ru;18.02.2014;3;1285;5.33
43;NWAIII;NEVE;Ru-ru;10.03.2017;3;1670;24.77
44;NWAIII;NEVE;Ca-ca;01.04.2017;2;1229;19.52
46;NWAII;SABA;Ca-ca;23.02.2000;3;889;34.24
47;NWAIII;MISO;Ca-ca;10.03.2014;3;1418;21.55
48;NWAIII;MISO;Ru-ru;03.04.2013;3;1244;40.49
49;NWAIII;MISO;Ru-ru;13.04.2013;3;1197;27.37
51;NWAIII;NEVE;Ru-ru;23.03.2016;3;1533;33.05
52;NWAIII;NEVE;Ru-ru;18.03.2017;2;1573;42.58
53;NWAII;SABA;Ca-ca;04.01.2000;3;718;34.52
54;NWAII;SABA;Ca-ca;19.11.2000;3;659;25.55
